subjects,Age,Sex,Notes,learn.python,Highest_Level_Complete,Hint_Use,Forum_Use,SolutionButton_Use,Help_Total,QuizACC_NoRetake,QuizACC_Retake,PT_Semantics_Raw,PT_Semantics_ACC,Old_Semantics_ACC,New_Semantics_ACC,PT_Syntax_Raw,PT_Syntax_ACC,Old_Syntax_ACC,New_Syntax_ACC,PostTest_Total_RAW,PostTest_Total_ACC,RPS-Code,Numeracy,MLAT-1,MLAT-2,MLAT-3,MLAT-4,MLAT-5,MLAT_Total,MLAT_%,LLAMA_B,LLAMA_D,LLAMA_E,LLAMA_F,NDV,NDV_%,Ravens,ChooseA.ACC,AvoidB.ACC,All.ACC,#TrainTrails,Met Criteria,#TestTrials,Lag1_T2|T1,Lag2_T2|T1,Lag3_T2|T1,Lag8_T2|T1,Total RT,Match RT,NonMatch RT,Distractor RT,Total ACC,Match ACC,NonMatch ACC,Distractor ACC,Con RT,Incon RT,Incon-Con RT,Con ACC,Incon ACC,Con-Incon ACC,MathErrorTotal,AccErrorTotal,SpeedErrorTotal,OspanAbsoluteScore,OspanPartialScore,AccErrorTotal,ReadErrorTotal,RspanScore,RspanTotal,SpeedErrorTotal,SymmErrorTotal,AccErrorTotal,SpeedErrorTotal,SspanAbsoluteScore,SspanPartialScore,sEBR,O1_AlphaPeak_Closed,O1_CorrectPeak_Closed,O2_AlphaPeak_Closed,O2_CorrectPeak_Closed
28312,26,F,,0,8,12,11,2,25,0.705,0.705,19,0.76,0.947368421,0.166666667,19,0.76,0.863636364,0,38,0.76,22,,39,26,25,19,17,126,65,,,,,79,99,12,0.3125,0.875,0.6,180,,60,0.857142857,0.277777778,0.15,0.772727273,992.3846154,919.7575758,1069.947368,1063.384615,0.825,0.85,0.95,0.65,458.1555556,573.9230769,115.7675214,1,0.933333333,0.066666667,3,3,0,3,7,1,1,0,13,0,0,0,0,0,4,127,1,1,1,2
28313,18,F,Drop-Out,0,,,,,,,,,,,,,,,,,0,,,42,29,25,23,20,139,85,,,,,66,76,14,0.8125,0.4375,0.65,240,,60,1,1,0.869565217,1,634.5909091,559.2258065,732.4,659.9333333,0.8625,0.8,1,0.85,422.1818182,459.0666667,36.88484848,1,1,0,0,0,0,25,25,1,1,30,30,0,0,0,0,10,10,53,1,1,1,1
28314,19,F,,0,10,9,10,3,22,0.83,0.83,18,0.72,0.8,0.4,19,0.76,0.818181818,0.333333333,37,0.74,36,0.875,40,30,19,22,24,135,75,,,,,67,79,15,0.5,0.6875,0.716666667,180,,60,0.9375,0.875,0.782608696,0.875,1467.708333,894.25,1951.105263,2141.823529,0.9,0.9,0.95,0.85,412,502.1666667,90.16666667,1,0.8,0.2,2,2,0,25,25,1,1,15,24,0,0,0,0,2,10,,1,1,1,1
28315,33,F,Drop-Out,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,78,98,,,,,,,,1,0.791666667,0.833333333,0.958333333,968.8484848,793.7,1013.736842,1227.764706,0.8375,0.775,0.95,0.85,,,,,,,0,0,0,18,24,,,,,,,,,,,,,,,
28316,20,F,,0,13,14,12,10,36,0.916666667,0.916666667,22,0.88,0.88,0,23,0.92,0.92,0,45,0.9,35.66666667,0.875,43,27,20,23,24,137,80,,,,,63,69,15,1,0.9375,0.95,360,YES,60,0.866666667,0.764705882,0.529411765,0.909090909,1038.513514,969.9459459,976.85,1260.294118,0.9375,0.925,1,0.9,429.3333333,494.0666667,64.73333333,1,1,0,0,0,0,18,23,0,0,30,30,0,1,1,0,11,13,54,1,1,1,1
28317,19,F,Drop-Out,0,,,,,,,,,,,,,,,,,0,,,28,22,23,22,22,117,50,,,,,73,90,6,0.875,0.5625,0.716666667,60,,60,0.9,0.470588235,0.368421053,0.578947368,701.509434,682.7241379,726.1333333,721,0.675,0.75,0.75,0.45,394.3333333,484.1,89.76666667,1,0.733333333,0.266666667,3,2,1,3,13,0,0,24,29,0,2,2,0,2,6,111,1,1,1,1
28318,20,M,,1,13,8,2,1,11,0.916666667,0.96,25,1,1,0,21,0.84,0.84,0,46,0.92,37.33333333,0.875,41,24,21,21,12,119,55,,,,,70,85,12,0.25,0.25,0.466666667,120,,60,0.923076923,0.818181818,0.222222222,0.947368421,827.9855072,769.0540541,898.9473684,892,0.8875,0.925,1,0.7,901.627907,1068.357143,166.7292359,1,0.933333333,0.066666667,0,0,0,18,24,0,1,24,29,1,0,0,0,0,2,38,1,1,1,1
28319,29,M,,0,9,10,8,3,21,0.705,0.83,19,0.76,0.842105263,0.5,14,0.56,0.636363636,0,33,0.66,30.66666667,1,43,29,10,15,21,118,50,,,,,75,93,13,0.5625,0.75,0.566666667,60,,60,1,0.956521739,0.958333333,0.958333333,1116.424658,985.3055556,988.1,1545.058824,0.925,0.925,1,0.85,443.0222222,477.6428571,34.62063492,1,1,0,1,1,0,25,25,0,0,30,30,0,0,0,0,9,13,,1,1,1,1
28320,21,F,,0,10,22,15,6,43,0.856,0.856,16,0.64,0.727272727,0,19,0.76,0.782608696,0.5,35,0.7,33.66666667,0.875,40,27,16,15,22,120,55,,,,,67,79,15,0.8125,0.6875,0.733333333,240,,60,0.714285714,0.611111111,0.545454545,0.80952381,1228.383333,1000.310345,1283.5,1660.846154,0.7625,0.75,0.9,0.65,366.3809524,452.6923077,86.31135531,0.933333333,0.933333333,0,2,2,0,3,17,1,1,13,22,0,1,1,0,5,10,67,1,1,1,1
28321,26,F,,0,10,9,12,6,27,0.756,0.756,19,0.76,0.772727273,0.666666667,19,0.76,0.826086957,0,38,0.76,34.66666667,0.5,39,29,18,25,17,128,65,,,,,70,85,10,0.75,0.5,0.633333333,120,,60,0.727272727,0.4375,0.625,0.869565217,1078,1073.65625,1034.05,1162.833333,0.8125,0.8,1,0.65,526.5227273,544.3846154,17.86188811,1,0.866666667,0.133333333,2,2,0,18,18,1,3,4,15,2,0,0,0,6,9,,1,1,1,1
28322,22,F,Drop-Out,0,,,,,,,,,,,,,,,,,0,,,32,23,13,22,15,105,30,,,,,71,86,11,0.9375,0.8125,0.8,60,,60,1,0.444444444,0.45,0.647058824,511.9130435,452.4,556.85,511.3636364,0.575,0.375,1,0.55,396.3333333,433.5714286,37.23809524,1,0.933333333,0.066666667,1,1,0,13,22,1,1,14,24,0,0,0,0,14,14,,1,1,1,1
28323,19,F,Drop-Out,0,,,,,,,,,,,,,,,,,0,,,30,22,23,19,20,114,45,,,,,67,79,13,0.625,0.875,0.766666667,360,NO,60,0.75,0.368421053,0.909090909,0.954545455,947.9117647,902.875,851.0526316,1140.941176,0.875,0.8,1,0.9,627.2954545,768.6,141.3045455,1,1,0,0,0,0,18,23,0,1,24,27,1,0,0,0,9,13,24,1,1,1,1
28324,18,M,,0,13,16,4,2,22,0.871666667,0.871666667,23,0.92,0.92,0,23,0.92,0.92,0,46,0.92,45,1,43,30,24,17,24,138,80,,,,100,76,95,15,1,1,0.966666667,60,,60,0.941176471,0.75,0.772727273,0.916666667,1318.736111,1087.888889,1564.882353,1535.894737,0.9125,0.9,0.9,0.95,624.3488372,621.7333333,-2.615503876,0.977777778,1,-0.022222222,1,0,1,25,25,1,1,30,30,0,0,0,0,9,12,25,1,1,1,1
28325,19,M,,0,11,22,17,11,50,0.74,0.74,17,0.68,0.772727273,0,17,0.68,0.739130435,0,34,0.68,32.66666667,1,39,30,18,22,19,128,65,,,,80,71,86,11,0.3125,1,0.683333333,60,,60,0.95,0.473684211,0.583333333,0.85,769.9852941,697.9117647,840.1,844.8571429,0.8625,0.85,1,0.75,400.8666667,425.8,24.93333333,1,1,0,1,1,0,25,25,1,1,24,26,0,0,0,0,14,14,19,1,1,1,1
28326,21,M,,1,10,29,20,15,64,0.848,0.848,17,0.68,0.727272727,0.333333333,23,0.92,0.913043478,1,40,0.8,26,0.75,39,27,19,13,4,102,30,,,,50,67,79,13,0.8125,0.8125,0.8,180,,60,1,1,0.958333333,0.916666667,571.5882353,523.7878788,573.0526316,668.4375,0.8625,0.825,1,0.8,418.3409091,471,52.65909091,1,1,0,0,0,0,21,24,0,0,30,30,0,0,0,0,9,11,31,1,1,1,1
28327,20,F,,0,11,24,14,26,64,0.79,0.79,18,0.72,0.818181818,0,20,0.8,0.826086957,0.5,38,0.76,33.33333333,0.75,41,28,20,20,9,118,50,,,,40,73,90,14,0.375,0.3125,0.483333333,360,NO,60,0.916666667,0.666666667,0.636363636,0.863636364,781.4117647,659.53125,832.4,961.4375,0.85,0.8,1,0.8,479.7045455,482.8666667,3.162121212,1,1,0,2,2,0,6,12,0,0,20,24,0,0,0,0,5,10,11,1,1,1,1
28328,20,F,,1,12,7,6,3,16,0.924,0.924,20,0.8,0.8,0,23,0.92,0.92,0,43,0.86,40,1,36,27,20,21,24,128,65,,,,70,64,71,16,0.8125,0.875,0.766666667,60,,60,1,0.523809524,0.5,0.739130435,822.8987342,729.875,822.55,1019.105263,1,1,1,1,533.7045455,608.6428571,74.93831169,1,0.933333333,0.066666667,1,1,0,7,19,0,1,25,29,1,0,0,0,11,12,,1,1,1,1
28329,22,M,,0,11,14,12,8,34,0.974,0.974,22,0.88,0.909090909,0.666666667,22,0.88,0.913043478,0.5,44,0.88,35.66666667,1,34,30,17,17,19,117,50,,,,30,73,90,13,0.75,0.5,0.733333333,60,,60,0.611111111,0.3,0.5,0.863636364,703.8787879,606.5,726.15,858.625,0.8625,0.8,1,0.85,443.1555556,538.3571429,95.2015873,1,1,0,2,1,1,12,13,0,0,20,28,0,2,2,0,2,6,,0,0,0,0
28330,20,F,,0,8,16,11,7,34,0.715,0.8825,15,0.6,0.684210526,0.333333333,15,0.6,0.681818182,0,30,0.6,17.33333333,0.625,33,25,15,18,12,103,30,,,,30,61,63,12,0.9375,0.75,0.7,360,YES,60,1,0.909090909,0.555555556,0.909090909,1533.966667,1660.290323,1300.684211,1585.6,0.75,0.775,0.95,0.5,613.75,574.4,-39.35,1,1,0,3,1,2,3,18,0,0,13,23,0,0,0,0,5,12,83,1,1,1,1
28331,20,F,,0,8,19,4,4,27,0.8625,0.8625,17,0.68,0.736842105,0.5,18,0.72,0.772727273,0.333333333,35,0.7,19.33333333,0.75,32,21,16,15,22,106,35,,,,80,56,48,11,0.5625,0.75,0.75,300,,60,0.857142857,0.133333333,0.076923077,0.571428571,966.9375,903.2580645,950,1130.928571,0.825,0.825,0.95,0.7,343.097561,435.125,92.02743902,0.911111111,0.533333333,0.377777778,1,1,0,8,18,0,1,17,22,1,0,0,0,10,11,59,1,1,1,1
29212,29,F,OLCTS Subject,2,10,41,27,24,92,0.74,0.74,15,0.6,0.578947368,0.666666667,17,0.68,0.727272727,0.333333333,33.84561404,0.676912281,29.33333333,0.5,41,25,31,23,23,143,90,60,15,90,30,77,97,12,0.875,0.5,0.633333333,120,,60,0.875,0.894736842,1,0.916666667,952.2769231,960.1142857,762.2105263,1255.636364,0.825,0.875,0.95,0.6,418.0681818,496.4666667,78.39848485,1,1,0,1,1,0,12,18,0,0,30,30,0,1,1,0,5,8,118,1,1,1,1
29220,20,M,OLCTS Subject,2,10,23,6,12,41,0.685,0.7675,19,0.76,0.8,0.6,20,0.8,0.909090909,0,39,0.78,35.33333333,0.875,38,25,22,18,22,125,60,85,20,100,60,70,85,11,0.9375,0.5625,0.716666667,60,,60,0.818181818,0.761904762,0.5,0.421052632,651.7391304,525.6764706,801.45,737.8666667,0.9,0.9,1,0.8,517.627907,567.7142857,50.08637874,0.955555556,1,-0.044444444,1,1,0,7,15,0,2,18,24,2,1,1,0,14,14,68,0,0,1,1
29221,35,M,OLCTS Subject,2,10,31,31,31,93,0.722,0.722,18,0.72,0.75,0.6,16,0.64,0.681818182,0.333333333,36.07,0.7214,25,0.375,31,26,27,24,16,124,60,60,20,90,20,75,93,8,0.9375,0.5625,0.733333333,180,,60,0.625,0.476190476,0.652173913,0.833333333,767.0833333,761.6,718.6470588,823.6875,0.6125,0.375,0.9,0.8,585.8636364,608,22.13636364,1,0.933333333,0.066666667,2,1,1,18,22,1,1,26,29,0,2,2,0,3,7,41,1,1,1,1
29227,24,F,OLCTS Subject,2,9,12,17,5,34,0.61,0.82,17,0.68,0.789473684,0.333333333,20,0.8,0.863636364,0.333333333,37,0.74,34,0.625,28,24,6,16,16,90,20,45,55,100,60,68,81,12,0.8125,0.9375,0.883333333,180,,60,0.947368421,0.904761905,0.916666667,0.958333333,1248.4,1177.6,1061,1639.866667,0.8125,0.75,1,0.75,429.1555556,464.2,35.04444444,1,1,0,2,2,0,0,6,2,3,9,18,1,0,0,0,9,10,31,1,1,1,1
29230,19,F,OLCTS Subject,2,11,9,6,4,19,0.89,0.89,23,0.92,0.954545455,0.666666667,21,0.84,0.869565217,0.5,44,0.88,41.33333333,0.5,39,29,18,18,24,128,65,65,15,100,90,77,97,15,0.5,0.75,0.666666667,360,,60,1,0.95,0.857142857,1,616.3521127,564.4857143,628.2631579,709.8235294,0.9,0.875,0.95,0.9,382.5333333,407.0666667,24.53333333,1,1,0,0,0,0,18,21,0,0,19,27,0,0,0,0,5,8,39,1,1,1,1
29233,19,F,OLCTS Subject,2,10,3,4,0,7,0.756,0.856,16,0.64,0.7,0.4,17,0.68,0.772727273,0,34.74,0.6948,34.66666667,0.625,32,28,18,20,12,110,40,100,40,90,30,66,76,14,0.5,0.8125,0.716666667,240,,60,0.733333333,0.117647059,0.277777778,0.772727273,769.5384615,813.5769231,664.25,823.5,0.65,0.65,0.8,0.5,426.0909091,487.6666667,61.57575758,0.977777778,0.8,0.177777778,7,3,4,9,15,0,0,30,30,0,1,1,0,14,14,96,1,1,1,1
29234,21,M,OLCTS Subject,2,8,12,8,7,27,0.79,0.79,13,0.52,0.631578947,0.166666667,15,0.6,0.681818182,0,28,0.56,21.66666667,,29,25,15,15,11,95,20,45,40,100,30,58,54,10,0.5625,0.5,0.433333333,120,,60,0.923076923,1,0.705882353,0.8125,765.7608696,797,711.1,822.5454545,0.575,0.375,1,0.55,506.5909091,542.5833333,35.99242424,1,0.8,0.2,1,1,0,9,17,0,0,14,24,0,1,1,0,5,10,63,1,1,1,1
29239,20,M,OLCTS Subject,2,5,26,15,16,57,0.61,0.61,15,0.6,0.818181818,0.428571429,13,0.52,0.545454545,0.5,28,0.56,21.33333333,0.875,39,23,14,15,12,103,30,45,0,100,10,59,57,8,0.5625,0.125,0.366666667,360,,60,1,0.416666667,0,0.692307692,980.3921569,967.6521739,905.2941176,1123.090909,0.6625,0.575,0.9,0.6,556.1777778,599.0714286,42.89365079,1,0.933333333,0.066666667,2,2,0,8,16,1,2,18,24,1,3,3,0,5,9,106,1,1,1,1
29240,20,F,OLCTS Subject,2,8,35,19,18,72,0.8325,0.8325,19,0.76,0.789473684,0.666666667,14,0.56,0.545454545,0.666666667,35.21614035,0.704322807,13.33333333,0.625,35,20,7,14,17,93,20,70,25,100,0,72,88,8,0.9375,0.875,0.766666667,180,,60,0.933333333,0.733333333,0.666666667,0.8,1263.653846,1347.517241,969.6111111,1835.8,0.675,0.725,0.9,0.35,433.6444444,540.1666667,106.5222222,1,0.866666667,0.133333333,3,3,0,3,5,3,3,4,15,0,0,0,0,2,8,,1,1,2,2
29245,20,F,OLCTS Subject,2,11,18,17,10,45,0.764,0.764,18,0.72,0.818181818,0,18,0.72,0.739130435,0.5,37.53818182,0.750763636,34.66666667,0.875,43,27,19,26,21,136,75,95,50,100,80,64,71,16,0.5,0.625,0.733333333,60,,60,1,0.791666667,0.869565217,1,745.0266667,656.7631579,718.6842105,959.1666667,0.95,0.95,1,0.9,522.9555556,562.4,39.44444444,1,1,0,2,2,0,19,20,1,1,30,30,0,0,0,0,10,13,,1,1,1,1
29280,20,F,OLCTS Subject,2,10,24,18,9,51,0.7,0.7,14,0.56,0.55,0.6,18,0.72,0.772727273,0.333333333,33.71,0.6742,31.66666667,0.625,33,25,18,23,20,119,50,80,25,100,90,71,86,8,0.75,0.75,0.716666667,360,,60,0.727272727,0.5,0.681818182,0.956521739,1749.521127,1509.805556,1970.315789,2026.6875,0.8875,0.9,0.95,0.8,388.8222222,448.7857143,59.96349206,1,0.933333333,0.066666667,0,0,0,15,19,1,1,19,23,0,1,1,0,11,13,11,1,1,1,1
29281,19,F,OLCTS Subject,2,10,11,10,6,27,0.806,0.806,18,0.72,0.8,0.4,19,0.76,0.818181818,0.333333333,38.92,0.7784,25.33333333,0.625,43,30,30,22,20,145,90,50,45,100,90,69,83,12,0.9375,1,0.85,180,,60,0.6875,0.095238095,0.181818182,1,1350.961538,1348.423077,1190.05,1898.333333,0.6625,0.65,1,0.35,517.4418605,539.6923077,22.25044723,0.977777778,0.866666667,0.111111111,2,2,0,18,23,0,0,30,30,0,0,0,0,5,10,,1,1,1,1
